Epoch: 0, Train Loss: 0.05976251191817797, Valid Loss: 0.058374168633511574
Epoch: 1, Train Loss: 0.05728916843923239, Valid Loss: 0.058374168633511574
Epoch: 2, Train Loss: 0.057195088668511467, Valid Loss: 0.058374168633511574
Epoch: 3, Train Loss: 0.0571067088498519, Valid Loss: 0.058210392793019615
Epoch: 4, Train Loss: 0.05697594832342404, Valid Loss: 0.058210392793019615
Epoch: 5, Train Loss: 0.05686596445739269, Valid Loss: 0.058210392793019615
Epoch: 6, Train Loss: 0.05660696344879957, Valid Loss: 0.05718915457978393
Epoch: 7, Train Loss: 0.053527306593381445, Valid Loss: 0.05718915457978393
Epoch: 8, Train Loss: 0.04702180583889668, Valid Loss: 0.05718915457978393
Epoch: 9, Train Loss: 0.04168501976304329, Valid Loss: 0.03615717076216683
Epoch: 10, Train Loss: 0.03601243048906326, Valid Loss: 0.03615717076216683
Epoch: 11, Train Loss: 0.03422717688461909, Valid Loss: 0.03615717076216683
Epoch: 12, Train Loss: 0.03296555866702245, Valid Loss: 0.03140738792717457
Epoch: 13, Train Loss: 0.03162654658349661, Valid Loss: 0.03140738792717457
Epoch: 14, Train Loss: 0.031271987250791146, Valid Loss: 0.03140738792717457
Epoch: 15, Train Loss: 0.030140742215399557, Valid Loss: 0.029477285785656986
Epoch: 16, Train Loss: 0.02962548894664416, Valid Loss: 0.029477285785656986
Epoch: 17, Train Loss: 0.028784474114385936, Valid Loss: 0.029477285785656986
Epoch: 18, Train Loss: 0.027371124049218803, Valid Loss: 0.026793396947058765
Epoch: 19, Train Loss: 0.022547409332428988, Valid Loss: 0.026793396947058765
Epoch: 20, Train Loss: 0.02055463924860725, Valid Loss: 0.026793396947058765
Epoch: 21, Train Loss: 0.020245621532488326, Valid Loss: 0.01937768698641748
Epoch: 22, Train Loss: 0.019806189039865366, Valid Loss: 0.01937768698641748
Epoch: 23, Train Loss: 0.01948481551013314, Valid Loss: 0.01937768698641748
Epoch: 24, Train Loss: 0.01953606280999688, Valid Loss: 0.022535226900469173
Epoch: 25, Train Loss: 0.0189182267524302, Valid Loss: 0.022535226900469173
Epoch: 26, Train Loss: 0.01869520070031285, Valid Loss: 0.022535226900469173
Epoch: 27, Train Loss: 0.018159062064324435, Valid Loss: 0.01871104710594271
Epoch: 28, Train Loss: 0.018021973294134325, Valid Loss: 0.01871104710594271
Epoch: 29, Train Loss: 0.017732431581960275, Valid Loss: 0.01871104710594271
Epoch: 30, Train Loss: 0.0167199030231971, Valid Loss: 0.01721511036157608
Epoch: 31, Train Loss: 0.01691514669845884, Valid Loss: 0.01721511036157608
Epoch: 32, Train Loss: 0.016716181866538067, Valid Loss: 0.01721511036157608
Epoch: 33, Train Loss: 0.0162143840167958, Valid Loss: 0.016551589141740944
Epoch: 34, Train Loss: 0.016213455674453425, Valid Loss: 0.016551589141740944
