Epoch: 0, Train Loss: 0.07979392460905589, Valid Loss: 0.08200049964767514
Epoch: 1, Train Loss: 0.07902187226483455, Valid Loss: 0.08200049964767514
Epoch: 2, Train Loss: 0.07792859650575197, Valid Loss: 0.08200049964767514
Epoch: 3, Train Loss: 0.0759623660491063, Valid Loss: 0.07653479582884094
Epoch: 4, Train Loss: 0.0676512108112757, Valid Loss: 0.07653479582884094
Epoch: 5, Train Loss: 0.05132738452118177, Valid Loss: 0.07653479582884094
Epoch: 6, Train Loss: 0.0459985995808473, Valid Loss: 0.04790586470202966
Epoch: 7, Train Loss: 0.045004550081032976, Valid Loss: 0.04790586470202966
Epoch: 8, Train Loss: 0.044390546845702025, Valid Loss: 0.04790586470202966
Epoch: 9, Train Loss: 0.0436800377156872, Valid Loss: 0.04547373848882588
Epoch: 10, Train Loss: 0.04301456896444926, Valid Loss: 0.04547373848882588
Epoch: 11, Train Loss: 0.04257325171851195, Valid Loss: 0.04547373848882588
Epoch: 12, Train Loss: 0.042066497140778945, Valid Loss: 0.04354645605340148
Epoch: 13, Train Loss: 0.04177686841442035, Valid Loss: 0.04354645605340148
Epoch: 14, Train Loss: 0.04123050473057307, Valid Loss: 0.04354645605340148
Epoch: 15, Train Loss: 0.04119401049728577, Valid Loss: 0.042491170605926804
Epoch: 16, Train Loss: 0.04088278564696129, Valid Loss: 0.042491170605926804
Epoch: 17, Train Loss: 0.04089721554460434, Valid Loss: 0.042491170605926804
Epoch: 18, Train Loss: 0.04063929236279084, Valid Loss: 0.0424712241599054
Epoch: 19, Train Loss: 0.04067983655975415, Valid Loss: 0.0424712241599054
Epoch: 20, Train Loss: 0.04042677244601341, Valid Loss: 0.0424712241599054
Epoch: 21, Train Loss: 0.04036673320314059, Valid Loss: 0.041985821317542686
Epoch: 22, Train Loss: 0.040338133476101434, Valid Loss: 0.041985821317542686
Epoch: 23, Train Loss: 0.040319545552707635, Valid Loss: 0.041985821317542686
Epoch: 24, Train Loss: 0.04018920244505772, Valid Loss: 0.04159659260150158
Epoch: 25, Train Loss: 0.0402204362818828, Valid Loss: 0.04159659260150158
Epoch: 26, Train Loss: 0.04020652740907211, Valid Loss: 0.04159659260150158
Epoch: 27, Train Loss: 0.039947525641092885, Valid Loss: 0.04114686867052859
Epoch: 28, Train Loss: 0.039876978185314396, Valid Loss: 0.04114686867052859
Epoch: 29, Train Loss: 0.03948669412101691, Valid Loss: 0.04114686867052859
Epoch: 30, Train Loss: 0.03861402618483855, Valid Loss: 0.039513169025832955
Epoch: 31, Train Loss: 0.037872334125523384, Valid Loss: 0.039513169025832955
Epoch: 32, Train Loss: 0.036738870980647896, Valid Loss: 0.039513169025832955
Epoch: 33, Train Loss: 0.035964544332371305, Valid Loss: 0.03619558934235212
Epoch: 34, Train Loss: 0.035079282249968785, Valid Loss: 0.03619558934235212
Epoch: 35, Train Loss: 0.03458844093749156, Valid Loss: 0.03619558934235212
Epoch: 36, Train Loss: 0.034001801965328364, Valid Loss: 0.034203089265660805
Epoch: 37, Train Loss: 0.03378227406109755, Valid Loss: 0.034203089265660805
Epoch: 38, Train Loss: 0.03349655747700196, Valid Loss: 0.034203089265660805
Epoch: 39, Train Loss: 0.033207228851432985, Valid Loss: 0.03649494955033967
Epoch: 40, Train Loss: 0.03278351695491717, Valid Loss: 0.03649494955033967
Epoch: 41, Train Loss: 0.032561768018282373, Valid Loss: 0.03649494955033967
Epoch: 42, Train Loss: 0.0325335631147027, Valid Loss: 0.032806766078327644
Epoch: 43, Train Loss: 0.03256261477676722, Valid Loss: 0.032806766078327644
Epoch: 44, Train Loss: 0.03252005571356187, Valid Loss: 0.032806766078327644
Epoch: 45, Train Loss: 0.03243407314786544, Valid Loss: 0.033500374097264175
Epoch: 46, Train Loss: 0.03237438454077794, Valid Loss: 0.033500374097264175
Epoch: 47, Train Loss: 0.03219951455696271, Valid Loss: 0.033500374097264175
Epoch: 48, Train Loss: 0.03219254290541777, Valid Loss: 0.03288515070171067
Epoch: 49, Train Loss: 0.032112939526828435, Valid Loss: 0.03288515070171067
Epoch: 50, Train Loss: 0.03185780642984005, Valid Loss: 0.03288515070171067
Epoch: 51, Train Loss: 0.03174377449143392, Valid Loss: 0.03225955841216174
Epoch: 52, Train Loss: 0.0317834654249824, Valid Loss: 0.03225955841216174
Epoch: 53, Train Loss: 0.031762439843553765, Valid Loss: 0.03225955841216174
Epoch: 54, Train Loss: 0.03192038536071777, Valid Loss: 0.031911966701348625
Epoch: 55, Train Loss: 0.03162826867057727, Valid Loss: 0.031911966701348625
Epoch: 56, Train Loss: 0.031622082281571165, Valid Loss: 0.031911966701348625
Epoch: 57, Train Loss: 0.03170948891112438, Valid Loss: 0.031768130815841934
Epoch: 58, Train Loss: 0.03144769366257466, Valid Loss: 0.031768130815841934
Epoch: 59, Train Loss: 0.03143769640188951, Valid Loss: 0.031768130815841934
Epoch: 60, Train Loss: 0.0313044370080416, Valid Loss: 0.03162718727958925
Epoch: 61, Train Loss: 0.031239035510672974, Valid Loss: 0.03162718727958925
Epoch: 62, Train Loss: 0.031210169224784923, Valid Loss: 0.03162718727958925
Epoch: 63, Train Loss: 0.03112178952074968, Valid Loss: 0.03152929951973034
Epoch: 64, Train Loss: 0.031215201089015373, Valid Loss: 0.03152929951973034
Epoch: 65, Train Loss: 0.03130803840378156, Valid Loss: 0.03152929951973034
Epoch: 66, Train Loss: 0.031183273488512405, Valid Loss: 0.031345486640930176
Epoch: 67, Train Loss: 0.03108468120201276, Valid Loss: 0.031345486640930176
Epoch: 68, Train Loss: 0.031094554553811368, Valid Loss: 0.031345486640930176
Epoch: 69, Train Loss: 0.030956344421093282, Valid Loss: 0.034522412570588516
Epoch: 70, Train Loss: 0.030882780769696604, Valid Loss: 0.034522412570588516
Epoch: 71, Train Loss: 0.030738942998533067, Valid Loss: 0.034522412570588516
Epoch: 72, Train Loss: 0.030645256833388257, Valid Loss: 0.031243155851508633
Epoch: 73, Train Loss: 0.03071739157805076, Valid Loss: 0.031243155851508633
Epoch: 74, Train Loss: 0.030718997880243338, Valid Loss: 0.031243155851508633
Epoch: 75, Train Loss: 0.03060334761841939, Valid Loss: 0.030918578532609074
Epoch: 76, Train Loss: 0.030494174576149537, Valid Loss: 0.030918578532609074
Epoch: 77, Train Loss: 0.03047037060157611, Valid Loss: 0.030918578532609074
Epoch: 78, Train Loss: 0.030371461593760894, Valid Loss: 0.03077928631594687
Epoch: 79, Train Loss: 0.030294923584621686, Valid Loss: 0.03077928631594687
Epoch: 80, Train Loss: 0.03000909210397647, Valid Loss: 0.03077928631594687
Epoch: 81, Train Loss: 0.029906776576088024, Valid Loss: 0.03044662635886308
Epoch: 82, Train Loss: 0.029785815368478116, Valid Loss: 0.03044662635886308
Epoch: 83, Train Loss: 0.029693335108458997, Valid Loss: 0.03044662635886308
Epoch: 84, Train Loss: 0.029552292422606395, Valid Loss: 0.03016844515999158
Epoch: 85, Train Loss: 0.02962927518842312, Valid Loss: 0.03016844515999158
Epoch: 86, Train Loss: 0.029365755402697966, Valid Loss: 0.03016844515999158
Epoch: 87, Train Loss: 0.02935379256422703, Valid Loss: 0.02996805321538087
Epoch: 88, Train Loss: 0.02926101664511057, Valid Loss: 0.02996805321538087
Epoch: 89, Train Loss: 0.029110634054702062, Valid Loss: 0.02996805321538087
Epoch: 90, Train Loss: 0.02892344337529861, Valid Loss: 0.029630223684238666
Epoch: 91, Train Loss: 0.028893679666977663, Valid Loss: 0.029630223684238666
Epoch: 92, Train Loss: 0.028782003530516076, Valid Loss: 0.029630223684238666
Epoch: 93, Train Loss: 0.028734166690936456, Valid Loss: 0.029468681155280632
Epoch: 94, Train Loss: 0.028676360000211457, Valid Loss: 0.029468681155280632
Epoch: 95, Train Loss: 0.02868806546410689, Valid Loss: 0.029468681155280632
Epoch: 96, Train Loss: 0.028615282017451067, Valid Loss: 0.02935446798801422
Epoch: 97, Train Loss: 0.02863801310841854, Valid Loss: 0.02935446798801422
Epoch: 98, Train Loss: 0.02853294204060848, Valid Loss: 0.02935446798801422
Epoch: 99, Train Loss: 0.028535511258703013, Valid Loss: 0.02922962193913532
