Epoch: 0, Train Loss: 0.03851806131693033, Valid Loss: 0.025393582316059055
Epoch: 1, Train Loss: 0.022423213863602052, Valid Loss: 0.025393582316059055
Epoch: 2, Train Loss: 0.01849293519671147, Valid Loss: 0.025393582316059055
Epoch: 3, Train Loss: 0.01596798004152683, Valid Loss: 0.015575849451124668
Epoch: 4, Train Loss: 0.015145133013048998, Valid Loss: 0.015575849451124668
Epoch: 5, Train Loss: 0.014232756355060982, Valid Loss: 0.015575849451124668
Epoch: 6, Train Loss: 0.013119383736585196, Valid Loss: 0.013136587444354187
Epoch: 7, Train Loss: 0.012588930215973121, Valid Loss: 0.013136587444354187
Epoch: 8, Train Loss: 0.012530428729951382, Valid Loss: 0.013136587444354187
Epoch: 9, Train Loss: 0.012317965043565401, Valid Loss: 0.01292744648614616
Epoch: 10, Train Loss: 0.010983250010758639, Valid Loss: 0.01292744648614616
Epoch: 11, Train Loss: 0.010520986245515255, Valid Loss: 0.01292744648614616
Epoch: 12, Train Loss: 0.010193284669031317, Valid Loss: 0.010900848940240614
Epoch: 13, Train Loss: 0.009902862323304782, Valid Loss: 0.010900848940240614
Epoch: 14, Train Loss: 0.009477453195275022, Valid Loss: 0.010900848940240614
Epoch: 15, Train Loss: 0.00924988307345372, Valid Loss: 0.010304851372810927
Epoch: 16, Train Loss: 0.008983970497949766, Valid Loss: 0.010304851372810927
Epoch: 17, Train Loss: 0.008772786935934654, Valid Loss: 0.010304851372810927
Epoch: 18, Train Loss: 0.008776996481733827, Valid Loss: 0.010015176679713257
Epoch: 19, Train Loss: 0.00833113045574954, Valid Loss: 0.010015176679713257
Epoch: 20, Train Loss: 0.007968684536619829, Valid Loss: 0.010015176679713257
Epoch: 21, Train Loss: 0.007879813782011087, Valid Loss: 0.010309002968962446
Epoch: 22, Train Loss: 0.00769194970623805, Valid Loss: 0.010309002968962446
Epoch: 23, Train Loss: 0.007640193044566191, Valid Loss: 0.010309002968962446
Epoch: 24, Train Loss: 0.007472160132601857, Valid Loss: 0.009775547719927448
Epoch: 25, Train Loss: 0.007382593475855314, Valid Loss: 0.009775547719927448
Epoch: 26, Train Loss: 0.007482005111300028, Valid Loss: 0.009775547719927448
Epoch: 27, Train Loss: 0.007196399902638335, Valid Loss: 0.010392611959215366
Epoch: 28, Train Loss: 0.007726061498173154, Valid Loss: 0.010392611959215366
Epoch: 29, Train Loss: 0.007143348075736028, Valid Loss: 0.010392611959215366
Epoch: 30, Train Loss: 0.006828000697378929, Valid Loss: 0.009691608335935709
Epoch: 31, Train Loss: 0.0066864209894377455, Valid Loss: 0.009691608335935709
Epoch: 32, Train Loss: 0.006463888104861745, Valid Loss: 0.009691608335935709
Epoch: 33, Train Loss: 0.006421860679984093, Valid Loss: 0.009954153531880089
Epoch: 34, Train Loss: 0.006640127781205453, Valid Loss: 0.009954153531880089
Epoch: 35, Train Loss: 0.006512822275264905, Valid Loss: 0.009954153531880089
Epoch: 36, Train Loss: 0.006467974454594346, Valid Loss: 0.009799140378494154
Epoch: 37, Train Loss: 0.006344659021124244, Valid Loss: 0.009799140378494154
Epoch: 38, Train Loss: 0.006283105121782193, Valid Loss: 0.009799140378494154
Epoch: 39, Train Loss: 0.006253461715263816, Valid Loss: 0.009964464881429167
Epoch: 40, Train Loss: 0.006036616414068983, Valid Loss: 0.009964464881429167
Epoch: 41, Train Loss: 0.006024304243664329, Valid Loss: 0.009964464881429167
Epoch: 42, Train Loss: 0.005856116008586609, Valid Loss: 0.009849387686699629
Epoch: 43, Train Loss: 0.005828950593534571, Valid Loss: 0.009849387686699629
Epoch: 44, Train Loss: 0.005874975767129889, Valid Loss: 0.009849387686699629
